"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001216","GO:0001216","DNA-binding transcription activator activity","48/1481","476/18089",0.0772791802807896,0.388657731070703,0.342052135568887,"CASZ1/NOTCH2/PBX1/TBX19/PRRX1/ATF3/MIXL1/GRHL1/MYCN/NR1I2/KLF15/PLSCR1/TP63/MSX1/NFKB1/IRF1/EGR1/MEOX2/HOXA5/IRF5/EGR3/ZNF395/CEBPD/MAFA/NFIB/NR4A3/KLF4/CREB3L1/FOSL1/PITX3/NFKB2/NR4A1/ELK3/SALL2/SIX1/FOS/MEIS2/SMAD3/FOXF1/MEOX1/ZNF521/CEBPB/SOX18/JUNB/ATF5/ZNF71/MAFF/RUNX1",48
"GO:0030551","GO:0030551","cyclic nucleotide binding","6/1481","37/18089",0.0779617115604359,0.390187012712667,0.343398034568706,"POPDC2/PRKAR1B/CNGA4/PDE2A/CNP/PDE6G",6
"GO:0070566","GO:0070566","adenylyltransferase activity","5/1481","29/18089",0.0838156315850786,0.412798224285622,0.363297839945078,"TENT5B/TENT5A/OAS1/OAS3/OAS2",5
"GO:0004000","GO:0004000","adenosine deaminase activity","3/1481","13/18089",0.0843324043839038,0.412798224285622,0.363297839945078,"ADAR/LACC1/ADAD2",3
"GO:0005172","GO:0005172","vascular endothelial growth factor receptor binding","3/1481","13/18089",0.0843324043839038,0.412798224285622,0.363297839945078,"VEGFC/GREM1/CADM4",3
"GO:0019992","GO:0019992","diacylglycerol binding","3/1481","13/18089",0.0843324043839038,0.412798224285622,0.363297839945078,"DGKD/PLTP/UNC13A",3
"GO:0017022","GO:0017022","myosin binding","10/1481","75/18089",0.0844814988596182,0.412798224285622,0.363297839945078,"CXCR4/MYRIP/GCSAM/LIMCH1/RAB3C/DMD/SPATA6L/SNAP25/MYLK2/NPHS1",10
"GO:0030165","GO:0030165","PDZ domain binding","11/1481","85/18089",0.0860830889363314,0.416806379171511,0.366825359993714,"ARHGEF16/SLC22A4/PRKN/FZD3/CADM1/ABTB3/NKD1/SSTR2/DTNA/USHBP1/CXADR",11
"GO:0051015","GO:0051015","actin filament binding","23/1481","208/18089",0.0861103382769466,0.416806379171511,0.366825359993714,"MARCKSL1/SPTA1/RCSD1/ACTN2/ANTXR1/TNNC1/PLS1/SYNE1/EGFR/AIF1L/GAS2/MYO7A/PANX1/LCP1/MYO5C/TLN2/MYH10/SLC6A4/FMNL1/SAMD14/LIMD2/PSTPIP2/MYO5B",23
"GO:0005216","GO:0005216","monoatomic ion channel activity","44/1481","438/18089",0.0915404010869615,0.441019408975034,0.388134902788789,"KCNQ4/KCNT2/KCNK1/TMEM37/SCN9A/ITGAV/SCN5A/SCN10A/KCNN2/KCNMB1/GABRP/KCNQ5/HTR1B/CALHM6/CALHM4/AQP1/TMEM120A/KCND2/TMC1/ANO9/CNGA4/BEST1/PANX1/GRIK4/KCNJ5/ANO2/ASIC1/KCNMB4/P2RX7/P2RX4/TRPC4/TMC7/SCNN1G/SCNN1B/TRPV2/SLC6A4/PIEZO2/SNAP25/KCNS1/CACNA1A/CACNG7/APOL1/CACNA1I/KCNJ15",44
"GO:0000149","GO:0000149","SNARE binding","13/1481","106/18089",0.0922546879221434,0.442393410454557,0.389344141928458,"SNAP91/TXLNB/STX11/ABCA1/SYT9/EXOC3L4/TNFAIP2/SYT17/DOC2B/SLC6A4/SNAP25/CACNA1A/UNC13A",13
"GO:0022839","GO:0022839","monoatomic ion-gated channel activity","5/1481","30/18089",0.0941341925914745,0.449316447045418,0.395437007864771,"KCNT2/KCNN2/KCNMB1/ASIC1/KCNMB4",5
"GO:0050699","GO:0050699","WW domain binding","4/1481","22/18089",0.100312669836982,0.465125374043753,0.409350219435107,"TP63/PRRG4/SCNN1G/SCNN1B",4
"GO:0000900","GO:0000900","mRNA regulatory element binding translation repressor activity","3/1481","14/18089",0.101055367396509,0.465125374043753,0.409350219435107,"PAIP2B/CPEB4/ZNF540",3
"GO:0004065","GO:0004065","arylsulfatase activity","3/1481","14/18089",0.101055367396509,0.465125374043753,0.409350219435107,"ARSJ/SULF1/SULF2",3
"GO:0008559","GO:0008559","ABC-type xenobiotic transporter activity","3/1481","14/18089",0.101055367396509,0.465125374043753,0.409350219435107,"ABCG2/ABCC3/ABCA8",3
"GO:0015250","GO:0015250","water channel activity","3/1481","14/18089",0.101055367396509,0.465125374043753,0.409350219435107,"AQP1/AQP3/AQP5",3
"GO:0030548","GO:0030548","acetylcholine receptor regulator activity","3/1481","14/18089",0.101055367396509,0.465125374043753,0.409350219435107,"LYPD6/LY6E/GPIHBP1",3
"GO:0031005","GO:0031005","filamin binding","3/1481","14/18089",0.101055367396509,0.465125374043753,0.409350219435107,"SYNPO2/RFLNA/CEACAM1",3
"GO:0099602","GO:0099602","neurotransmitter receptor regulator activity","3/1481","14/18089",0.101055367396509,0.465125374043753,0.409350219435107,"LYPD6/LY6E/GPIHBP1",3
"GO:0071949","GO:0071949","FAD binding","6/1481","40/18089",0.104991995794653,0.479310620490526,0.421834452869297,"KMO/AOX1/KDM1B/DDO/CYB5R2/SQOR",6
"GO:0042923","GO:0042923","neuropeptide binding","5/1481","31/18089",0.105067119525566,0.479310620490526,0.421834452869297,"OPRD1/CMKLR2/SSTR5/SSTR2/MCHR1",5
"GO:0022836","GO:0022836","gated channel activity","31/1481","300/18089",0.106187913721008,0.482289599323168,0.42445620972645,"KCNQ4/KCNT2/KCNK1/TMEM37/ITGAV/SCN10A/KCNN2/KCNMB1/GABRP/KCNQ5/HTR1B/AQP1/KCND2/TMC1/CNGA4/GRIK4/KCNJ5/ASIC1/KCNMB4/P2RX7/P2RX4/TMC7/SCNN1G/SCNN1B/PIEZO2/SNAP25/KCNS1/CACNA1A/CACNG7/CACNA1I/KCNJ15",31
"GO:0005244","GO:0005244","voltage-gated monoatomic ion channel activity","19/1481","171/18089",0.106823587497607,0.483048766272076,0.425124341749481,"KCNQ4/KCNT2/KCNK1/TMEM37/ITGAV/SCN10A/KCNN2/KCNQ5/HTR1B/KCND2/TMC1/KCNJ5/KCNMB4/SNAP25/KCNS1/CACNA1A/CACNG7/CACNA1I/KCNJ15",19
"GO:0022832","GO:0022832","voltage-gated channel activity","19/1481","172/18089",0.111369922140139,0.501407815399489,0.441281879498045,"KCNQ4/KCNT2/KCNK1/TMEM37/ITGAV/SCN10A/KCNN2/KCNQ5/HTR1B/KCND2/TMC1/KCNJ5/KCNMB4/SNAP25/KCNS1/CACNA1A/CACNG7/CACNA1I/KCNJ15",19
"GO:0016791","GO:0016791","phosphatase activity","28/1481","269/18089",0.112246042956639,0.503155088209979,0.442819629421616,"ALPL/PTPN7/DUSP10/DUSP2/SGPP2/CTDSPL/PPM1L/PPM1K/NOCT/INPP4B/NT5E/PTPRK/SYNJ2/TNS3/PTPRN2/MTMR7/PLPPR1/DUSP8/PFKFB3/DUSP5/DUSP16/TNS2/PTPRR/SSH1/PLPPR3/ACP5/ACP7/PTPRH",28
"GO:0030552","GO:0030552","cAMP binding","4/1481","23/18089",0.113960955769675,0.506438557752305,0.445709364217149,"POPDC2/PRKAR1B/CNGA4/PDE2A",4
"GO:0047555","GO:0047555","3',5'-cyclic-GMP phosphodiesterase activity","4/1481","23/18089",0.113960955769675,0.506438557752305,0.445709364217149,"PDE1A/PDE3B/PDE2A/PDE6G",4
"GO:0042287","GO:0042287","MHC protein binding","6/1481","41/18089",0.114955205988591,0.508664452249945,0.447668342273167,"CD74/HLA-E/TAP2/TAP1/TAPBP/CLEC7A",6
"GO:0017128","GO:0017128","phospholipid scramblase activity","3/1481","15/18089",0.11897014028578,0.517545209428857,0.455484170225815,"PLSCR1/ATG9B/ANO9",3
"GO:0030553","GO:0030553","cGMP binding","3/1481","15/18089",0.11897014028578,0.517545209428857,0.455484170225815,"CNGA4/PDE2A/PDE6G",3
"GO:0048531","GO:0048531","beta-1,3-galactosyltransferase activity","3/1481","15/18089",0.11897014028578,0.517545209428857,0.455484170225815,"B3GNT2/B3GNT7/B3GNT5",3
"GO:1904680","GO:1904680","peptide transmembrane transporter activity","3/1481","15/18089",0.11897014028578,0.517545209428857,0.455484170225815,"TAP2/TAP1/SLC15A3",3
"GO:0003774","GO:0003774","cytoskeletal motor activity","13/1481","111/18089",0.120633173215331,0.522574796575656,0.459910638264552,"KIF17/GPR88/KIF21B/KIF26B/DNAH5/KIF13A/DNAH8/DNAH11/MYO7A/KIF21A/MYO5C/MYH10/MYO5B",13
"GO:0099094","GO:0099094","ligand-gated monoatomic cation channel activity","15/1481","132/18089",0.122017185662676,0.526358654469536,0.463240757723967,"KCNT2/KCNK1/KCNN2/KCNMB1/AQP1/CNGA4/GRIK4/KCNJ5/ASIC1/KCNMB4/P2RX7/P2RX4/SCNN1G/SCNN1B/KCNJ15",15
"GO:0005267","GO:0005267","potassium channel activity","14/1481","122/18089",0.124512244465257,0.529760105656013,0.466234326484745,"KCNQ4/KCNT2/KCNK1/KCNN2/KCNMB1/KCNQ5/AQP1/KCND2/GRIK4/KCNJ5/KCNMB4/SNAP25/KCNS1/KCNJ15",14
"GO:0022843","GO:0022843","voltage-gated monoatomic cation channel activity","16/1481","143/18089",0.124832629101818,0.529760105656013,0.466234326484745,"KCNQ4/KCNT2/KCNK1/ITGAV/KCNN2/KCNQ5/HTR1B/KCND2/TMC1/KCNJ5/SNAP25/KCNS1/CACNA1A/CACNG7/CACNA1I/KCNJ15",16
"GO:0004532","GO:0004532","RNA exonuclease activity","6/1481","42/18089",0.125374845567475,0.529760105656013,0.466234326484745,"ZC3H12A/PNPT1/XRN1/NOCT/ISG20/HELZ2",6
"GO:0005245","GO:0005245","voltage-gated calcium channel activity","6/1481","42/18089",0.125374845567475,0.529760105656013,0.466234326484745,"ITGAV/HTR1B/TMC1/CACNA1A/CACNG7/CACNA1I",6
"GO:0008138","GO:0008138","protein tyrosine/serine/threonine phosphatase activity","6/1481","42/18089",0.125374845567475,0.529760105656013,0.466234326484745,"DUSP10/DUSP2/DUSP8/DUSP5/DUSP16/SSH1",6
"GO:0004114","GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","4/1481","24/18089",0.12837328432265,0.540215739333275,0.475436180821158,"PDE1A/PDE3B/PDE2A/PDE6G",4
"GO:0005080","GO:0005080","protein kinase C binding","7/1481","52/18089",0.129981668234859,0.54255506052688,0.477494984097372,"ITGAV/IRS1/SQSTM1/DSP/HDAC9/SDC4/DACT3",7
"GO:0098632","GO:0098632","cell-cell adhesion mediator activity","7/1481","52/18089",0.129981668234859,0.54255506052688,0.477494984097372,"NTNG1/CD47/DSP/NRCAM/MYPN/KRT18/CXADR",7
"GO:0008191","GO:0008191","metalloendopeptidase inhibitor activity","3/1481","16/18089",0.1379506714485,0.562162617641912,0.494751315950103,"LXN/RARRES1/BST2",3
"GO:0015095","GO:0015095","magnesium ion transmembrane transporter activity","3/1481","16/18089",0.1379506714485,0.562162617641912,0.494751315950103,"CLDN16/NIPAL4/SLC41A2",3
"GO:0016641","GO:0016641","oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor","3/1481","16/18089",0.1379506714485,0.562162617641912,0.494751315950103,"VCAM1/DDO/IL4I1",3
"GO:0035613","GO:0035613","RNA stem-loop binding","3/1481","16/18089",0.1379506714485,0.562162617641912,0.494751315950103,"ZC3H12A/ARID5A/MYH10",3
"GO:0042813","GO:0042813","Wnt receptor activity","3/1481","16/18089",0.1379506714485,0.562162617641912,0.494751315950103,"NID1/FZD3/LRP5",3
"GO:0140328","GO:0140328","floppase activity","3/1481","16/18089",0.1379506714485,0.562162617641912,0.494751315950103,"ATP8A1/ABCA1/ATP10A",3
"GO:0030246","GO:0030246","carbohydrate binding","28/1481","276/18089",0.139780329757133,0.567376062911828,0.499339594905299,"FBXO6/CRYBG2/SELP/SELL/SELE/CD34/GCKR/CD302/LY75/GALNT15/PTX3/P4HA2/HLA-DRB1/COLEC10/ENPP2/GALNT12/MRC1/KLRG1/CD69/CLEC7A/GALNT9/CLEC14A/CEMIP/ZG16B/CLEC10A/LGALS9/COLEC12/SIGLEC14",28
"GO:0008376","GO:0008376","acetylgalactosaminyltransferase activity","5/1481","34/18089",0.141329927095953,0.571416293474225,0.50289534430015,"GALNT15/CHSY3/CSGALNACT1/GALNT12/GALNT9",5
"GO:0030247","GO:0030247","polysaccharide binding","4/1481","25/18089",0.143497823868687,0.577915064096156,0.508614819797729,"PTX3/HLA-DRB1/ENPP2/CLEC7A",4
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","32/1481","322/18089",0.146420966391988,0.587393059728171,0.516956268809724,"ISG15/TNFRSF14/PRKACB/RPL5/BLZF1/IKBKE/TRIB2/CXCR4/STAT1/SCN5A/PARP9/DTX3L/WFS1/SNCAIP/SQSTM1/PRKN/EGFR/CLU/RIGI/TRAF1/UBE2L6/USP2/STAT2/NFKBIA/DIO2/TRAF3/SMAD3/PML/NGFR/BCL2/CEBPB/RANGAP1",32
"GO:0015079","GO:0015079","potassium ion transmembrane transporter activity","17/1481","158/18089",0.149571442577755,0.597706036037461,0.52603257242768,"KCNQ4/ATP1B1/KCNT2/KCNK1/SLC12A8/KCNN2/SLC12A2/KCNMB1/KCNQ5/AQP1/KCND2/GRIK4/KCNJ5/KCNMB4/SNAP25/KCNS1/KCNJ15",17
"GO:0005154","GO:0005154","epidermal growth factor receptor binding","5/1481","35/18089",0.154483875346154,0.603739614361093,0.531342638806741,"VAV3/EFEMP1/PLSCR1/BTC/HBEGF",5
"GO:0005372","GO:0005372","water transmembrane transporter activity","3/1481","17/18089",0.157868744320921,0.603739614361093,0.531342638806741,"AQP1/AQP3/AQP5",3
"GO:0008381","GO:0008381","mechanosensitive monoatomic ion channel activity","3/1481","17/18089",0.157868744320921,0.603739614361093,0.531342638806741,"TMC1/TMC7/PIEZO2",3
"GO:0008484","GO:0008484","sulfuric ester hydrolase activity","3/1481","17/18089",0.157868744320921,0.603739614361093,0.531342638806741,"ARSJ/SULF1/SULF2",3
"GO:0008569","GO:0008569","minus-end-directed microtubule motor activity","3/1481","17/18089",0.157868744320921,0.603739614361093,0.531342638806741,"DNAH5/DNAH8/DNAH11",3
"GO:0016854","GO:0016854","racemase and epimerase activity","3/1481","17/18089",0.157868744320921,0.603739614361093,0.531342638806741,"DSE/RENBP/DSEL",3
"GO:0017110","GO:0017110","nucleoside diphosphate phosphatase activity","3/1481","17/18089",0.157868744320921,0.603739614361093,0.531342638806741,"ALPL/GBP1/ENTPD8",3
"GO:0030169","GO:0030169","low-density lipoprotein particle binding","3/1481","17/18089",0.157868744320921,0.603739614361093,0.531342638806741,"CD36/COLEC12/PLTP",3
"GO:0036041","GO:0036041","long-chain fatty acid binding","3/1481","17/18089",0.157868744320921,0.603739614361093,0.531342638806741,"FABP3/OXER1/ALOX5AP",3
"GO:0070064","GO:0070064","proline-rich region binding","3/1481","17/18089",0.157868744320921,0.603739614361093,0.531342638806741,"GHR/CCND1/CYLD",3
"GO:0004715","GO:0004715","non-membrane spanning protein tyrosine kinase activity","6/1481","45/18089",0.159213074366969,0.603739614361093,0.531342638806741,"EIF2AK2/PKDCC/FRK/BMX/RIPK2/JAK3",6
"GO:0004435","GO:0004435","phosphatidylinositol phospholipase C activity","4/1481","26/18089",0.159279510287311,0.603739614361093,0.531342638806741,"BDKRB2/PLCB2/CCL5/PLCD3",4
"GO:0004709","GO:0004709","MAP kinase kinase kinase activity","4/1481","26/18089",0.159279510287311,0.603739614361093,0.531342638806741,"MAP3K1/EGFR/RIPK2/MAP3K8",4
"GO:0008198","GO:0008198","ferrous iron binding","4/1481","26/18089",0.159279510287311,0.603739614361093,0.531342638806741,"HAAO/CDO1/FTH1/ACP5",4
"GO:0020037","GO:0020037","heme binding","15/1481","139/18089",0.165088531496348,0.623466212354342,0.548703736841536,"CYP4X1/CYP2J2/PTGS2/TPO/GUCY1B1/CYP4V2/STC2/NOS3/IDO1/GUCY1A2/CYGB/CYB5A/PTGIS/CYP2S1/HMOX1",15
"GO:0019905","GO:0019905","syntaxin binding","8/1481","66/18089",0.170011240760003,0.639713829283078,0.563003033173734,"TXLNB/ABCA1/SYT17/DOC2B/SLC6A4/SNAP25/CACNA1A/UNC13A",8
"GO:0005246","GO:0005246","calcium channel regulator activity","6/1481","46/18089",0.171291003749889,0.640615368450865,0.563796464959565,"NPY2R/SGK1/GEM/CABP4/RRAD/CACNG7",6
"GO:0030276","GO:0030276","clathrin binding","7/1481","56/18089",0.171493541893733,0.640615368450865,0.563796464959565,"DNER/SNAP91/SYT9/CEMIP/SYT17/MYCBPAP/EPN3",7
"GO:0052689","GO:0052689","carboxylic ester hydrolase activity","16/1481","151/18089",0.173088875354997,0.644240543288814,0.566986929720719,"PLA2G4A/TNFAIP6/PLA1A/MGLL/BCHE/NCEH1/PLA2G7/ACHE/ENPP2/PLAAT4/ACOT1/ACOT4/PLA2G4B/LIPG/PLA2G4C/PLA2G3",16
"GO:0005242","GO:0005242","inward rectifier potassium channel activity","4/1481","27/18089",0.175660898434645,0.65070404364352,0.572675364358277,"KCNK1/KCNN2/KCNJ5/KCNJ15",4
"GO:0017018","GO:0017018","myosin phosphatase activity","9/1481","77/18089",0.176885057344303,0.65070404364352,0.572675364358277,"DUSP10/DUSP2/CTDSPL/PPM1L/PPM1K/DUSP8/DUSP5/DUSP16/SSH1",9
"GO:0005229","GO:0005229","intracellular calcium activated chloride channel activity","3/1481","18/18089",0.178596383841225,0.65070404364352,0.572675364358277,"ANO9/BEST1/ANO2",3
"GO:0048019","GO:0048019","receptor antagonist activity","3/1481","18/18089",0.178596383841225,0.65070404364352,0.572675364358277,"FST/IL18BP/CCL5",3
"GO:0003777","GO:0003777","microtubule motor activity","8/1481","67/18089",0.180195675745654,0.65070404364352,0.572675364358277,"KIF17/KIF21B/KIF26B/DNAH5/KIF13A/DNAH8/DNAH11/KIF21A",8
"GO:0042887","GO:0042887","amide transmembrane transporter activity","5/1481","37/18089",0.182208329505069,0.65070404364352,0.572675364358277,"ABCG2/TAP2/TAP1/AQP3/SLC15A3",5
"GO:0031593","GO:0031593","polyubiquitin modification-dependent protein binding","7/1481","57/18089",0.182680428829107,0.65070404364352,0.572675364358277,"IKBKE/TNIP2/TNIP3/SQSTM1/TNFAIP3/PARP10/OPTN",7
"GO:0015459","GO:0015459","potassium channel regulator activity","6/1481","47/18089",0.183734081012129,0.65070404364352,0.572675364358277,"AMIGO1/KCNMB1/SGK1/DRD4/KCNMB4/KCNS1",6
"GO:0019210","GO:0019210","kinase inhibitor activity","9/1481","78/18089",0.186475471581308,0.65070404364352,0.572675364358277,"INKA2/TRIB2/GCKR/RHOH/PKIB/PRKAR1B/GMFB/WARS1/SOCS1",9
"GO:0046332","GO:0046332","SMAD binding","9/1481","78/18089",0.186475471581308,0.65070404364352,0.572675364358277,"COL3A1/BMPR1B/COL1A2/CREB3L1/ANKRD1/HMGA2/FOS/SMAD3/PML",9
"GO:0004181","GO:0004181","metallocarboxypeptidase activity","4/1481","28/18089",0.192582944040142,0.65070404364352,0.572675364358277,"CPA3/ACE2/AGBL2/VASH1",4
"GO:0035250","GO:0035250","UDP-galactosyltransferase activity","4/1481","28/18089",0.192582944040142,0.65070404364352,0.572675364358277,"B3GNT2/B3GNT7/B3GNT5/COLGALT1",4
"GO:0016247","GO:0016247","channel regulator activity","15/1481","143/18089",0.19281211251368,0.65070404364352,0.572675364358277,"AMIGO1/NPY2R/KCNMB1/GPLD1/SGK1/GEM/DRD4/CABP4/FXYD2/FXYD6/KCNMB4/RRAD/BCL2/KCNS1/CACNG7",15
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","7/1481","58/18089",0.194161381004464,0.65070404364352,0.572675364358277,"GSTM2/PTGS2/TPO/IPCEF1/SESN3/ALOX5AP/CYGB",7
"GO:0004382","GO:0004382","GDP phosphatase activity","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"GBP1/ENTPD8",2
"GO:0004862","GO:0004862","cAMP-dependent protein kinase inhibitor activity","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"PKIB/PRKAR1B",2
"GO:0004935","GO:0004935","adrenergic receptor activity","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"GPR88/ADRA1B",2
"GO:0005131","GO:0005131","growth hormone receptor binding","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"SOCS2/JAK3",2
"GO:0005432","GO:0005432","calcium:sodium antiporter activity","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"SLC8A1/SLC8A2",2
"GO:0008199","GO:0008199","ferric iron binding","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"FTH1/ACP5",2
"GO:0008526","GO:0008526","phosphatidylinositol transfer activity","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"PITPNM3/PLTP",2
"GO:0015114","GO:0015114","phosphate ion transmembrane transporter activity","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"UCP2/SLC37A1",2
"GO:0015203","GO:0015203","polyamine transmembrane transporter activity","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"ATP13A4/ATP13A3",2
"GO:0015245","GO:0015245","fatty acid transmembrane transporter activity","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"MFSD2A/CD36",2
"GO:0031996","GO:0031996","thioesterase binding","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"TRAF1/TRAF3",2
"GO:0052740","GO:0052740","1-acyl-2-lysophosphatidylserine acylhydrolase activity","2/1481","10/18089",0.194800344392254,0.65070404364352,0.572675364358277,"PLAAT4/LIPG",2
"GO:0140313","GO:0140313","molecular sequestering activity","6/1481","48/18089",0.196520106301224,0.65070404364352,0.572675364358277,"SQSTM1/LCN2/FTH1/C1R/NFKBIA/XAF1",6
"GO:0043531","GO:0043531","ADP binding","5/1481","38/18089",0.196711817232864,0.65070404364352,0.572675364358277,"NLRP3/TAP1/MYO7A/NOD2/MYH10",5
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","12/1481","111/18089",0.196722830014482,0.65070404364352,0.572675364358277,"AGRN/SPTA1/PLS1/ANK2/TUBB2B/DSP/HLA-DRB1/DMD/ANK1/TLN2/PPL/BFSP1",12
"GO:0004653","GO:0004653","polypeptide N-acetylgalactosaminyltransferase activity","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"GALNT15/GALNT12/GALNT9",3
"GO:0017075","GO:0017075","syntaxin-1 binding","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"SLC6A4/SNAP25/UNC13A",3
"GO:0022840","GO:0022840","leak channel activity","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"KCNK1/RHAG/PANX1",3
"GO:0022842","GO:0022842","narrow pore channel activity","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"KCNK1/RHAG/PANX1",3
"GO:0031420","GO:0031420","alkali metal ion binding","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"ADPRH/SLC6A4/PDXK",3
"GO:0042288","GO:0042288","MHC class I protein binding","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"HLA-E/TAP1/TAPBP",3
"GO:0042577","GO:0042577","lipid phosphatase activity","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"SGPP2/PLPPR1/PLPPR3",3
"GO:0042834","GO:0042834","peptidoglycan binding","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"NLRP3/TLR2/NOD2",3
"GO:0052816","GO:0052816","long-chain fatty acyl-CoA hydrolase activity","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"OLAH/ACOT1/ACOT4",3
"GO:0061778","GO:0061778","intracellular chloride channel activity","3/1481","19/18089",0.200007785417255,0.65070404364352,0.572675364358277,"ANO9/BEST1/ANO2",3
"GO:0141108","GO:0141108","transporter regulator activity","15/1481","144/18089",0.200070981411247,0.65070404364352,0.572675364358277,"AMIGO1/NPY2R/KCNMB1/GPLD1/SGK1/GEM/DRD4/CABP4/FXYD2/FXYD6/KCNMB4/RRAD/BCL2/KCNS1/CACNG7",15
"GO:0035591","GO:0035591","signaling adaptor activity","12/1481","112/18089",0.205107505578597,0.664986912740672,0.585245514097156,"NOS1AP/NLRP3/IRS1/IRAK2/MYD88/BANK1/RIPK2/SOCS2/KSR2/STAP2/TICAM1/CARD10",12
"GO:1901981","GO:1901981","phosphatidylinositol phosphate binding","18/1481","178/18089",0.206668033349826,0.667945900889249,0.587849677437881,"PLEKHN1/RCSD1/PLA2G4A/ACTN2/NLRP3/ARAP2/CGAS/SNAP91/ADAP1/FRMPD4/PHLDA2/SYT9/PLEK2/ZFYVE26/RLBP1/MTSS2/PLEKHA4/NCF4",18
"GO:0001965","GO:0001965","G-protein alpha-subunit binding","4/1481","29/18089",0.209985714032952,0.67444009709649,0.593565127058221,"RGS4/RGS2/RGS7/F2RL1",4
"GO:0004629","GO:0004629","phospholipase C activity","4/1481","29/18089",0.209985714032952,0.67444009709649,0.593565127058221,"BDKRB2/PLCB2/CCL5/PLCD3",4
"GO:0042826","GO:0042826","histone deacetylase binding","13/1481","124/18089",0.214538094200129,0.680945713866184,0.599290627752974,"HES1/HEY2/PRKN/HDAC9/NKX3-1/KLF4/CCND1/ANKRD1/BHLHE41/JDP2/ZMYND15/CEBPB/BCL3",13
"GO:0030971","GO:0030971","receptor tyrosine kinase binding","9/1481","81/18089",0.216544733349019,0.680945713866184,0.599290627752974,"ARHGEF16/ALKAL2/IRS1/SQSTM1/NRG1/NRG3/ITGAX/PITPNM3/CADM4",9
"GO:0000979","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","3/1481","20/18089",0.221980836376078,0.680945713866184,0.599290627752974,"STAT1/FOS/CEBPB",3
"GO:0015125","GO:0015125","bile acid transmembrane transporter activity","3/1481","20/18089",0.221980836376078,0.680945713866184,0.599290627752974,"SLCO2B1/ABCC3/CEACAM1",3
"GO:0016500","GO:0016500","protein-hormone receptor activity","3/1481","20/18089",0.221980836376078,0.680945713866184,0.599290627752974,"CMKLR2/CMKLR1/MCHR1",3
"GO:0016638","GO:0016638","oxidoreductase activity, acting on the CH-NH2 group of donors","3/1481","20/18089",0.221980836376078,0.680945713866184,0.599290627752974,"VCAM1/DDO/IL4I1",3
"GO:0002162","GO:0002162","dystroglycan binding","2/1481","11/18089",0.225881119439607,0.680945713866184,0.599290627752974,"AGRN/DMD",2
"GO:0004143","GO:0004143","ATP-dependent diacylglycerol kinase activity","2/1481","11/18089",0.225881119439607,0.680945713866184,0.599290627752974,"DGKD/DGKG",2
"GO:0004875","GO:0004875","complement receptor activity","2/1481","11/18089",0.225881119439607,0.680945713866184,0.599290627752974,"C3AR1/CMKLR1",2
"GO:0004954","GO:0004954","prostanoid receptor activity","2/1481","11/18089",0.225881119439607,0.680945713866184,0.599290627752974,"TBXA2R/PTGIR",2
"GO:0005114","GO:0005114","type II transforming growth factor beta receptor binding","2/1481","11/18089",0.225881119439607,0.680945713866184,0.599290627752974,"TGFB2/LRG1",2
"GO:0005221","GO:0005221","intracellular cyclic nucleotide-activated monoatomic cation channel activity","2/1481","11/18089",0.225881119439607,0.680945713866184,0.599290627752974,"AQP1/CNGA4",2
"GO:0008271","GO:0008271","secondary active sulfate transmembrane transporter activity","2/1481","11/18089",0.225881119439607,0.680945713866184,0.599290627752974,"SLC26A4/UCP2",2
"GO:0032050","GO:0032050","clathrin heavy chain binding","2/1481","11/18089",0.225881119439607,0.680945713866184,0.599290627752974,"SNAP91/CEMIP",2
