gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,delta.pct
NDUFA12,0.320054264,-0.610671696,0.629,0.512,1,0.117
RWDD4,0.320188016,0.050810103,0.164,0.13,1,0.034
TMEM127,0.320379361,-0.087046926,0.189,0.15,1,0.039
NT5C2,0.32112611,0.01457915,0.176,0.142,1,0.034
PHC3,0.321305,0.028118478,0.132,0.102,1,0.03
SRPK1,0.321904774,-0.130259549,0.182,0.15,1,0.032
ZNF274,0.322242189,-0.061463323,0.151,0.118,1,0.033
DUSP1,0.323212882,-0.222526695,0.862,0.681,1,0.181
PRKRIP1,0.323308793,-0.032266357,0.119,0.091,1,0.028
CCDC69,0.324934907,-0.206642881,0.22,0.173,1,0.047
UBR1,0.325463745,-0.025780281,0.138,0.177,1,-0.039
LRRC28,0.32586566,0.000615831,0.107,0.079,1,0.028
ZNF791,0.325951968,-0.004255077,0.245,0.209,1,0.036
EIF4EBP2,0.326388196,-0.331375083,0.164,0.201,1,-0.037
SOX13,0.326501498,0.063079665,0.145,0.114,1,0.031
CRYBG3.1,0.326708477,0.028439425,0.107,0.079,1,0.028
PUM1,0.326725619,-0.103764499,0.396,0.346,1,0.05
LARS,0.326807591,-0.021161579,0.258,0.22,1,0.038
RIPK1,0.326808501,0.094586877,0.138,0.106,1,0.032
POLRMT,0.326979206,-0.037187119,0.075,0.106,1,-0.031
LNPEP,0.327012566,0.040728388,0.164,0.13,1,0.034
MPZL1,0.327343,-0.248424574,0.245,0.272,1,-0.027
NFYC,0.327700179,-0.035319579,0.164,0.13,1,0.034
SULF2,0.327811295,-0.459020042,0.472,0.429,1,0.043
RPS16,0.328128478,-0.113024663,0.937,0.827,1,0.11
FXR2,0.328398355,-0.056197478,0.107,0.079,1,0.028
ARHGAP25,0.328480814,-0.056554852,0.082,0.11,1,-0.028
UBA3,0.328672058,-0.323903169,0.119,0.154,1,-0.035
NPEPL1,0.329620416,0.022784394,0.132,0.102,1,0.03
TREX1,0.330195004,-0.27836441,0.088,0.118,1,-0.03
TMEM184B,0.330237876,-0.130584005,0.195,0.228,1,-0.033
ARRB1,0.330481428,-0.032808778,0.119,0.091,1,0.028
SLC44A2,0.330622278,-0.274117448,0.283,0.236,1,0.047
LGALS8,0.330851998,-0.099127292,0.245,0.201,1,0.044
POLDIP2,0.331093502,-0.052967756,0.195,0.161,1,0.034
C11orf1,0.3316004,-0.049422301,0.145,0.114,1,0.031
CSGALNACT1,0.332764107,-0.168626123,0.088,0.114,1,-0.026
FBXO21,0.333490123,-0.06946789,0.201,0.161,1,0.04
C22orf39,0.333878583,-0.147030736,0.195,0.154,1,0.041
CPT1A,0.334613225,-0.073697592,0.132,0.165,1,-0.033
GCH1,0.335044922,-0.236830155,0.226,0.272,1,-0.046
RNF168,0.335070559,-0.030360126,0.233,0.193,1,0.04
CAPRIN2,0.335214442,-0.012247526,0.107,0.079,1,0.028
UNK,0.335214442,-0.119529314,0.107,0.079,1,0.028
ISCA1,0.335581703,-0.399954398,0.258,0.299,1,-0.041
ERC1,0.33620028,0.035680627,0.126,0.098,1,0.028
SEC24D,0.336610641,-0.022613656,0.208,0.169,1,0.039
ANAPC15,0.336783436,-0.060975799,0.157,0.118,1,0.039
THAP4,0.336786392,0.050089794,0.107,0.083,1,0.024
GLYR1,0.338061388,-0.038951924,0.252,0.209,1,0.043
SHPRH,0.338112527,-0.0539698,0.126,0.094,1,0.032
GXYLT1,0.338231268,-0.046836307,0.145,0.114,1,0.031
GPATCH2L,0.338466028,0.036166323,0.245,0.205,1,0.04
PLK2,0.33856311,-0.184966029,0.623,0.472,1,0.151
POP5,0.338636285,-0.063462924,0.195,0.157,1,0.038
RSRC1,0.338956214,-0.109079128,0.138,0.11,1,0.028
APLP2,0.339092852,-0.212460704,0.66,0.484,1,0.176
GTF2E2,0.339315478,-0.018239135,0.151,0.122,1,0.029
HID1,0.339545733,0.122502734,0.113,0.087,1,0.026
PLP2,0.340108268,-0.263703725,0.421,0.339,1,0.082
HIST1H2BK,0.341022277,-0.035779956,0.119,0.091,1,0.028
GAPVD1,0.341495492,-0.056709901,0.151,0.122,1,0.029
MBTPS1,0.341498782,-0.100928978,0.22,0.177,1,0.043
SREK1,0.341585544,-0.071145051,0.384,0.339,1,0.045
BNIP2,0.341808532,-0.133411182,0.478,0.386,1,0.092
LRRC8B,0.342001432,-0.14362366,0.233,0.272,1,-0.039
SUZ12,0.342014503,-0.108659562,0.245,0.205,1,0.04
HIF3A,0.342333599,0.006314428,0.17,0.138,1,0.032
POLR2M,0.342473043,0.017998591,0.176,0.138,1,0.038
TUBD1,0.342953804,0.069277394,0.151,0.122,1,0.029
MEPCE,0.34345598,-0.036136598,0.314,0.268,1,0.046
CNIH1,0.343555695,-0.215351726,0.327,0.28,1,0.047
ZMPSTE24,0.343916883,-0.047020215,0.189,0.15,1,0.039
ACAA2,0.343916932,0.107390229,0.182,0.154,1,0.028
GTF3C6,0.344255494,-0.212943219,0.352,0.307,1,0.045
TBC1D10A,0.344308458,-0.113994298,0.119,0.091,1,0.028
DCAF7,0.344347804,-0.005581393,0.22,0.185,1,0.035
UBQLN1,0.344965061,-0.205307733,0.296,0.24,1,0.056
SSSCA1,0.345324839,-0.169636832,0.138,0.177,1,-0.039
PRKAR1A,0.346386519,-0.34612779,0.547,0.425,1,0.122
TRAPPC6B,0.346691717,-0.037807962,0.176,0.142,1,0.034
CSNK1G2,0.346763128,-0.110759684,0.208,0.173,1,0.035
OGG1,0.34805856,0.054725802,0.101,0.075,1,0.026
TNKS1BP1,0.34811889,0.049028656,0.233,0.197,1,0.036
MOGS,0.348818796,0.135785746,0.17,0.134,1,0.036
SLC39A3,0.348866041,-0.106908508,0.138,0.11,1,0.028
ZNF513,0.348960361,-0.105204738,0.101,0.075,1,0.026
ENOSF1,0.349253606,-0.069193657,0.119,0.15,1,-0.031
CITED4,0.34951139,-0.135018934,0.22,0.181,1,0.039
CD82,0.349879103,-0.048729131,0.126,0.161,1,-0.035
MPC1,0.34992326,-0.153597011,0.296,0.244,1,0.052
FEZ1,0.350022395,-0.152617094,0.094,0.122,1,-0.028
HELZ2,0.350131739,-0.060938181,0.138,0.173,1,-0.035
ACOX1,0.350808502,-0.139612895,0.151,0.185,1,-0.034
ZDHHC5,0.351045516,-0.146016611,0.151,0.122,1,0.029
PHF11,0.351328032,0.002037717,0.151,0.118,1,0.033
FAM98C,0.351362271,0.016679581,0.113,0.087,1,0.026
G3BP2,0.351422921,-0.343011745,0.371,0.315,1,0.056
TMED4,0.352035142,-0.004103715,0.22,0.181,1,0.039
CDKN2AIPNL,0.35207587,-0.161227937,0.151,0.118,1,0.033
HS2ST1,0.352216164,-0.002432103,0.113,0.087,1,0.026
WDR82,0.352534788,-0.156099578,0.264,0.22,1,0.044
ATAD1,0.352836601,0.054387542,0.214,0.181,1,0.033
DNMT1,0.352836601,-0.08275039,0.214,0.181,1,0.033
SHB,0.353193682,-0.121420914,0.245,0.201,1,0.044
CERS2,0.353553938,-0.168185378,0.396,0.327,1,0.069
ARHGAP5,0.353618273,-0.142227312,0.239,0.268,1,-0.029
TRAM2,0.353800254,-0.006810583,0.164,0.13,1,0.034
LCA5,0.35440229,-0.028718362,0.101,0.075,1,0.026
CRCP,0.354795735,-0.107954446,0.145,0.114,1,0.031
MTHFD2L,0.355132823,-0.028589836,0.126,0.094,1,0.032
PINK1,0.355822776,-0.369047747,0.421,0.398,1,0.023
PAFAH1B3,0.356245526,-0.022391815,0.126,0.098,1,0.028
SESN2,0.356261982,-0.14395443,0.201,0.161,1,0.04
TMEM9,0.356434272,0.039856883,0.208,0.173,1,0.035
GATAD2B,0.356575962,0.051899706,0.157,0.126,1,0.031
SMNDC1,0.356988004,-0.088067375,0.308,0.256,1,0.052
RAI14,0.35705479,-0.037402735,0.245,0.205,1,0.04
C3orf38,0.357460288,0.019405378,0.132,0.106,1,0.026
TRIB2,0.358189303,-0.105533913,0.132,0.165,1,-0.033
BCAP31,0.358489434,-0.465951316,0.553,0.48,1,0.073
NAA30,0.358643466,-0.131104889,0.189,0.154,1,0.035
AGAP3,0.359106901,-0.133550315,0.138,0.173,1,-0.035
PTP4A1,0.360250433,-0.115694223,0.352,0.303,1,0.049
TMBIM6,0.360994171,-0.182413203,0.805,0.575,1,0.23
FEM1B,0.36101547,-0.095164207,0.157,0.126,1,0.031
EML1,0.361021345,-0.053094013,0.132,0.102,1,0.03
TTC33,0.361621129,0.026545853,0.157,0.13,1,0.027
NRD1,0.361817681,-0.069491539,0.214,0.181,1,0.033
TMEM87B,0.362502978,-0.024666854,0.157,0.126,1,0.031
MRPL17,0.362621985,-0.094412513,0.27,0.228,1,0.042
ZC3H7A,0.362650973,0.082252214,0.151,0.122,1,0.029
MSL3,0.363112283,0.005721604,0.22,0.177,1,0.043
ABHD17B,0.36359056,0.024053699,0.101,0.075,1,0.026
FAM173A,0.364260251,-0.282500634,0.126,0.094,1,0.032
CDK10,0.36426147,0.092090939,0.132,0.102,1,0.03
LMAN1,0.364480425,-0.144794514,0.447,0.37,1,0.077
RSBN1L,0.36571017,-0.018992207,0.214,0.181,1,0.033
CTA-29F11.1,0.366218052,-0.099390118,0.22,0.256,1,-0.036
KLHL24,0.367019774,-0.083663661,0.252,0.217,1,0.035
CDC14A,0.367588549,-0.163948281,0.113,0.146,1,-0.033
SMAD7,0.367765321,0.02402862,0.132,0.169,1,-0.037
DIAPH2,0.36778286,-0.036538623,0.119,0.094,1,0.025
GDI1,0.367981407,-0.175613319,0.245,0.201,1,0.044
ACSS2,0.36807005,-0.174188797,0.164,0.13,1,0.034
FIBP,0.368337237,-0.113244038,0.264,0.224,1,0.04
SEC23IP,0.368434772,0.012047066,0.138,0.11,1,0.028
UBQLN4,0.369155621,-0.078689973,0.132,0.102,1,0.03
ZSWIM8,0.369506398,-0.185750627,0.107,0.138,1,-0.031
DLGAP4,0.369868404,-0.160671225,0.321,0.28,1,0.041
RP6-99M1.2,0.36992532,-0.169815468,0.528,0.402,1,0.126
YIPF6,0.370156265,-0.233359012,0.34,0.295,1,0.045
MRPS9,0.370450559,-0.122879825,0.113,0.087,1,0.026
MRPL3,0.370988742,-0.071233475,0.201,0.165,1,0.036
PLA2G4A,0.371076646,-0.118231008,0.145,0.114,1,0.031
TRAM1,0.371131383,-0.311572995,0.509,0.382,1,0.127
EXOC6,0.371134858,-0.048946054,0.126,0.098,1,0.028
SREBF2,0.371369987,-0.177099383,0.082,0.11,1,-0.028
ACTN4,0.371626371,-0.413812222,0.616,0.531,1,0.085
CLTC,0.371679703,-0.157811692,0.358,0.303,1,0.055
SSNA1,0.371792868,-0.228731281,0.302,0.264,1,0.038
TDG,0.371818422,0.048771295,0.189,0.161,1,0.028
SLC7A6OS,0.371986205,-0.030001776,0.101,0.075,1,0.026
CGGBP1,0.372268114,-0.150216315,0.258,0.217,1,0.041
HDAC5,0.372366089,-0.253810998,0.201,0.228,1,-0.027
PYCR2,0.372702162,-0.084393697,0.27,0.232,1,0.038
COIL,0.37281274,0.029242723,0.126,0.098,1,0.028
RABEP1,0.373458276,-0.044573303,0.107,0.142,1,-0.035
GALC,0.373868101,0.020379358,0.101,0.075,1,0.026
RIN2,0.374393079,-0.14418304,0.17,0.201,1,-0.031
KSR1,0.374622582,-0.083126239,0.119,0.094,1,0.025
NINJ1,0.374682162,-0.212359603,0.189,0.224,1,-0.035
SMIM12,0.374865393,-0.147436925,0.289,0.244,1,0.045
PIAS2,0.375080381,-0.148625022,0.176,0.138,1,0.038
HOOK3,0.375433794,-0.182882994,0.314,0.272,1,0.042
SMC2,0.375514005,-0.015699708,0.107,0.083,1,0.024
MYL6,0.375909432,0.047680828,0.943,0.795,1,0.148
DNASE1L1,0.375948391,-0.092384201,0.264,0.22,1,0.044
PLEKHM1,0.376039212,0.009381259,0.151,0.122,1,0.029
ZBED6,0.376098625,-0.022899516,0.277,0.224,1,0.053
S100A16,0.376234015,-0.310815505,0.585,0.461,1,0.124
DKFZP761J1410,0.377357399,-0.164175288,0.107,0.134,1,-0.027
TAOK2,0.378145978,-0.059751971,0.201,0.165,1,0.036
TPGS1,0.378166373,-0.130535003,0.226,0.189,1,0.037
NUP62,0.378436651,0.023645358,0.189,0.157,1,0.032
TMEM192,0.378441593,-0.058384514,0.113,0.087,1,0.026
NOP10,0.379117311,-0.397048201,0.623,0.484,1,0.139
SGCE,0.379149575,-0.069532146,0.119,0.091,1,0.028
C17orf58,0.37966471,-0.188553228,0.126,0.154,1,-0.028
PDE4DIP,0.379803633,-0.091920856,0.119,0.094,1,0.025
VDAC3,0.379961759,-0.111301723,0.365,0.319,1,0.046
SYVN1,0.380082575,-0.038320816,0.075,0.102,1,-0.027
FAM120AOS,0.38019791,-0.090984193,0.189,0.154,1,0.035
RAPGEF3,0.38019791,-0.139190716,0.189,0.154,1,0.035
SIPA1L1,0.380402642,0.047528574,0.126,0.102,1,0.024
FBXW2,0.380462918,-0.005353933,0.182,0.15,1,0.032
B3GALT6,0.381227322,-0.038889593,0.126,0.094,1,0.032
MAN2B2,0.381919528,-0.108637783,0.075,0.102,1,-0.027
STAT5B,0.382001198,-0.044785673,0.226,0.193,1,0.033
CBX4,0.382090317,-0.197839241,0.182,0.217,1,-0.035
BAG4,0.382409316,-0.009032014,0.101,0.075,1,0.026
SLC4A1AP,0.382938856,-0.055961862,0.138,0.11,1,0.028
TMEM2,0.383403284,-0.281179578,0.34,0.346,1,-0.006
PYURF,0.38350954,-0.347410631,0.447,0.382,1,0.065
SDR39U1,0.384097889,-0.071706232,0.145,0.177,1,-0.032
PRMT5,0.38423813,-0.002602646,0.101,0.079,1,0.022
CLN3.1,0.384311241,0.023577022,0.132,0.106,1,0.026
SPSB1,0.385389776,-0.029227869,0.138,0.11,1,0.028
EXOC8,0.385633116,0.031032279,0.113,0.087,1,0.026
LOXL2,0.385633116,-0.077137349,0.082,0.106,1,-0.024
KDM4B,0.386853496,0.042160481,0.113,0.091,1,0.022
CCDC167,0.386912116,-0.143409909,0.145,0.118,1,0.027
BNIP3L,0.38789151,-0.125524139,0.472,0.374,1,0.098
C11orf84,0.388124331,-0.049638081,0.126,0.098,1,0.028
ITPRIP,0.388137136,-0.271963036,0.421,0.35,1,0.071
NAGA,0.38816937,-0.125272695,0.101,0.075,1,0.026
SEPP1,0.388433257,-0.229483946,0.541,0.441,1,0.1
PPP3CB,0.388986061,-0.165035923,0.126,0.098,1,0.028
MTA2,0.388986885,0.044469674,0.101,0.079,1,0.022
DGUOK,0.389231048,0.016309157,0.27,0.244,1,0.026
LZIC,0.389316653,0.018328145,0.145,0.118,1,0.027
ECHDC1,0.389366166,0.033259469,0.176,0.146,1,0.03
SHE,0.38988322,-0.095560172,0.208,0.173,1,0.035
AEN,0.390210178,-0.04122054,0.17,0.142,1,0.028
CCDC85B,0.390643317,-0.238359078,0.774,0.583,1,0.191
TRAPPC8,0.391093905,-0.065425171,0.107,0.079,1,0.028
SCPEP1,0.391259672,-0.0431269,0.208,0.173,1,0.035
ICMT,0.39250519,-0.168958584,0.088,0.114,1,-0.026
C7orf55,0.39250519,-0.179993619,0.088,0.114,1,-0.026
GPN3,0.392591276,-0.090233702,0.176,0.142,1,0.034
MCTP1,0.392915398,-0.030884705,0.195,0.165,1,0.03
HAUS7,0.393055213,0.019002523,0.107,0.083,1,0.024
SCAMP4,0.393296701,-0.07514022,0.151,0.122,1,0.029
ZBTB21,0.393799316,0.002362369,0.22,0.189,1,0.031
HYAL1,0.394230916,-0.054506368,0.201,0.169,1,0.032
CMSS1,0.394308341,-0.12009637,0.145,0.114,1,0.031
FYN,0.394521982,-0.121839065,0.233,0.26,1,-0.027
RCL1,0.395686558,-0.059436114,0.151,0.122,1,0.029
PTGES2,0.395704345,-0.194537822,0.101,0.13,1,-0.029
MAGOHB,0.395750757,-0.178048282,0.094,0.122,1,-0.028
MTUS1,0.396409608,-0.392373724,0.44,0.417,1,0.023
PCGF3,0.396648811,-0.074781784,0.195,0.161,1,0.034
ZNF226,0.396784572,0.0874413,0.113,0.091,1,0.022
ABHD12,0.396798267,-0.307622732,0.132,0.102,1,0.03
GPX3,0.396828408,-0.648174496,0.296,0.319,1,-0.023
CCDC92,0.397752561,-0.011181069,0.107,0.083,1,0.024
ZDHHC17,0.397787551,-0.066445289,0.138,0.11,1,0.028
TM6SF1,0.398943753,0.035890982,0.151,0.126,1,0.025
EIF2B5,0.398978439,-0.068961882,0.176,0.213,1,-0.037
CYC1,0.399155808,-0.369645029,0.321,0.343,1,-0.022
CDC42SE2,0.399327381,-0.065351012,0.182,0.154,1,0.028
SGSM3,0.399340339,-0.080874224,0.082,0.106,1,-0.024
YIF1B,0.399605437,-0.089545928,0.189,0.154,1,0.035
ADRBK1,0.399605437,-0.261379041,0.151,0.177,1,-0.026
TNFRSF10A,0.399676815,-0.221793258,0.201,0.228,1,-0.027
ERF,0.400113293,-0.004951837,0.289,0.24,1,0.049
CTSD,0.400296185,-0.068650619,0.484,0.402,1,0.082
TPD52L1,0.401223434,-0.469014143,0.189,0.217,1,-0.028
EGR3,0.401320066,-0.073085669,0.245,0.213,1,0.032
LYRM7,0.401534613,0.078213068,0.107,0.083,1,0.024
RP11-83A24.2,0.401534692,0.038666404,0.107,0.083,1,0.024
EMP2,0.401764623,-0.382581582,0.679,0.516,1,0.163
GCLC,0.402759684,0.038527726,0.119,0.094,1,0.025
ELP5,0.403104719,-0.038629419,0.195,0.161,1,0.034
KITLG,0.403297182,-0.238852126,0.245,0.201,1,0.044
SRRT,0.404215278,-0.084602247,0.189,0.157,1,0.032
CENPC,0.404524423,-0.038867453,0.113,0.146,1,-0.033
IARS2,0.404538198,-0.010244518,0.151,0.126,1,0.025
SDHA,0.404748956,-0.277544053,0.289,0.24,1,0.049
PAK4,0.404755496,-0.084991661,0.145,0.118,1,0.027
RRM2B,0.404902687,-0.135599165,0.119,0.15,1,-0.031
ADRM1,0.404914808,-0.26863597,0.459,0.374,1,0.085
PARP1,0.405223371,-0.236508396,0.189,0.15,1,0.039
HMOX2,0.405223371,-0.262545884,0.145,0.177,1,-0.032
TAPBPL,0.405338327,-0.01599865,0.107,0.083,1,0.024
DGAT1,0.405466599,-0.045993341,0.157,0.193,1,-0.036
IMP3,0.405587759,-0.123921395,0.239,0.201,1,0.038
PIGF,0.405852444,-0.05377004,0.151,0.185,1,-0.034
ZFYVE16,0.406770138,0.018994968,0.17,0.138,1,0.032
SMAD6,0.40706472,-0.056710818,0.094,0.122,1,-0.028
ASPSCR1,0.407226249,-0.067991244,0.145,0.118,1,0.027
COMTD1,0.407355537,0.048963585,0.101,0.079,1,0.022
PARP10,0.408639241,-0.06867435,0.082,0.106,1,-0.024
SMG6,0.408827265,0.016143411,0.164,0.134,1,0.03
PGP,0.409370584,0.012540309,0.151,0.126,1,0.025
ZBTB38,0.409384074,-0.166446486,0.447,0.366,1,0.081
ZFHX3,0.409747215,-0.120025183,0.252,0.213,1,0.039
AGTRAP,0.409910646,-0.065354293,0.264,0.22,1,0.044
KLHDC8B,0.409987037,-0.011638921,0.119,0.094,1,0.025
TADA3,0.410083408,-0.047801318,0.189,0.157,1,0.032
DNAJC15,0.410242929,-0.204480318,0.434,0.358,1,0.076
PDCL,0.410596509,-0.241355121,0.201,0.228,1,-0.027
MLF2,0.410886274,-0.256051077,0.403,0.319,1,0.084
EOGT,0.41193498,-0.071557056,0.157,0.193,1,-0.036
ARCN1,0.412221361,0.031909439,0.277,0.244,1,0.033
CLEC1A,0.4122613,-0.038015925,0.088,0.114,1,-0.026
USP5,0.412375715,-0.068343405,0.157,0.13,1,0.027
RRAD,0.412385592,-0.116820501,0.088,0.11,1,-0.022
PRPS1,0.412434939,-0.023829239,0.189,0.161,1,0.028
PIN1,0.412586146,-0.277085331,0.308,0.264,1,0.044
TEX2,0.413009894,-0.102192029,0.107,0.083,1,0.024
UTRN,0.41353994,-0.149895396,0.434,0.354,1,0.08
ZNF830,0.413943557,-0.033109305,0.233,0.201,1,0.032
EIF2B4,0.414086084,0.038659596,0.088,0.114,1,-0.026
MIDN,0.414342256,-0.238260359,0.78,0.563,1,0.217
LRP6,0.415025544,0.025726526,0.145,0.114,1,0.031
CETN3,0.415457803,-0.076212197,0.119,0.094,1,0.025
GALNT15,0.415909256,-0.131907257,0.233,0.193,1,0.04
FAM219A,0.416173246,-0.205643756,0.126,0.154,1,-0.028
ZNF281,0.416386003,-0.096634152,0.314,0.256,1,0.058
RASD1,0.417046069,-0.295499564,0.264,0.22,1,0.044
DHX33,0.417227528,0.020215276,0.101,0.079,1,0.022
TPD52,0.417968391,-0.227211554,0.195,0.157,1,0.038
SSFA2,0.418002165,-0.212254495,0.553,0.441,1,0.112
RP11-332H14.2,0.418065785,-0.008467602,0.082,0.106,1,-0.024
ABCG1,0.418692682,-0.113787495,0.195,0.224,1,-0.029
RGS19,0.41881961,-0.064708346,0.107,0.083,1,0.024
TEX10,0.419015514,-0.217307984,0.082,0.106,1,-0.024
HERC4,0.419112653,-0.16700441,0.182,0.213,1,-0.031
PTPLB,0.419137764,-0.117959889,0.119,0.146,1,-0.027
FAM129B,0.41996302,-0.402323462,0.327,0.331,1,-0.004
CRTC2,0.420700418,0.006829347,0.138,0.11,1,0.028
KLHL18,0.421365131,-0.109085862,0.157,0.185,1,-0.028
EXOC1,0.421561993,0.000497812,0.17,0.142,1,0.028
MMD,0.421563663,-0.135660688,0.107,0.13,1,-0.023
MAP4K5,0.422117601,-0.062796079,0.201,0.165,1,0.036
HPS5,0.422147454,0.014784016,0.126,0.102,1,0.024
BCL2L1,0.422484902,-0.09989218,0.226,0.252,1,-0.026
RPSAP58,0.422514342,-0.179438152,0.302,0.256,1,0.046
NXN,0.422680946,-0.23559844,0.239,0.26,1,-0.021
ACAP3,0.422826801,-0.237205008,0.082,0.106,1,-0.024
CD81,0.423260767,-0.043563791,0.925,0.618,1,0.307
ADD3,0.423380809,-0.140244808,0.151,0.122,1,0.029
LYPLA2,0.423913122,-0.106943491,0.27,0.232,1,0.038
SYTL4,0.424159561,-0.11897481,0.107,0.13,1,-0.023
ZMYM5,0.424166478,-0.01514722,0.226,0.197,1,0.029
ALDH9A1,0.424652947,-0.131881572,0.352,0.315,1,0.037
FOSL2,0.425114655,-0.33047748,0.547,0.429,1,0.118
ATP5B,0.425814346,-0.259704388,0.717,0.524,1,0.193
SRA1,0.426262774,-0.354231915,0.352,0.283,1,0.069
FAM49B,0.426862295,0.015488903,0.138,0.114,1,0.024
MUL1,0.427239167,0.070339568,0.101,0.079,1,0.022
PHF3,0.427450212,-0.084537068,0.289,0.256,1,0.033
CCNH,0.427766382,-0.172400522,0.296,0.252,1,0.044
IFRD2,0.427988987,-0.100005341,0.189,0.157,1,0.032
TYMP,0.428803072,-0.123483662,0.157,0.185,1,-0.028
BRD1,0.429013591,0.024195679,0.145,0.118,1,0.027
SAMD9L,0.429391785,0.049819331,0.113,0.091,1,0.022
LINC00938,0.429391785,-0.0287129,0.113,0.091,1,0.022
SLC35E4,0.430069959,-0.23040525,0.226,0.193,1,0.033
CLPX,0.430723024,-0.121395242,0.088,0.114,1,-0.026
ANAPC10,0.430897208,-0.228411333,0.151,0.122,1,0.029
SH3GLB2,0.431049255,0.09290631,0.189,0.165,1,0.024
CPSF3L,0.431120151,-0.035020576,0.226,0.197,1,0.029
ZNF664,0.431571062,-0.112966187,0.107,0.083,1,0.024
GCNT2,0.431623654,-0.149849403,0.145,0.177,1,-0.032
ACOT13,0.431888585,-0.136162367,0.17,0.138,1,0.032
PILRB,0.432371644,-0.177268426,0.119,0.146,1,-0.027
SRD5A3,0.432490684,-0.091807024,0.107,0.134,1,-0.027
TNKS,0.4329885,0.245357287,0.126,0.102,1,0.024
CRY2,0.433063997,-0.018909586,0.119,0.094,1,0.025
POR,0.434337934,-0.176214445,0.201,0.228,1,-0.027
ATP6V1H,0.435170298,-0.141665167,0.283,0.244,1,0.039
ZNF430,0.435857487,-0.007861649,0.119,0.15,1,-0.031
DDX39B,0.436285634,-0.05221078,0.17,0.201,1,-0.031
MON2,0.436397067,-0.099686633,0.138,0.11,1,0.028
RP11-215P8.3,0.436965986,0.019614837,0.107,0.087,1,0.02
STX18,0.437087152,-0.079328527,0.132,0.106,1,0.026
CMC2,0.437544918,-0.274172713,0.264,0.22,1,0.044
ODF3B,0.43798572,-0.124993967,0.101,0.126,1,-0.025
ZNF576,0.438021552,-0.08260815,0.113,0.091,1,0.022
GORASP2,0.438363794,-0.075423119,0.176,0.15,1,0.026
CCDC6,0.438529413,-0.012964986,0.107,0.083,1,0.024
PTCD3,0.438621705,-0.104320325,0.189,0.154,1,0.035
PSMD6,0.438653428,-0.174161541,0.27,0.228,1,0.042
SDCBP2,0.439698345,-0.132388253,0.126,0.154,1,-0.028
C11orf30,0.439926594,0.040081212,0.107,0.087,1,0.02
RABEP2,0.44052981,0.068733689,0.126,0.106,1,0.02
RB1,0.441611092,0.031619337,0.176,0.154,1,0.022
ESYT1,0.441704972,-0.104701519,0.119,0.15,1,-0.031
UPF1,0.44255315,-0.027945808,0.138,0.114,1,0.024
CDIP1,0.443087208,-0.170025778,0.145,0.169,1,-0.024
LIX1L,0.443090792,-0.079273617,0.214,0.181,1,0.033
MARK4,0.443434431,0.016388968,0.138,0.114,1,0.024
PIGT,0.444285669,-0.156711052,0.283,0.244,1,0.039
PCYT1A,0.444552608,0.026070879,0.208,0.185,1,0.023
CERS5,0.444995332,0.047816082,0.151,0.126,1,0.025
CASP10,0.445196111,-0.066920157,0.138,0.165,1,-0.027
SENP7,0.44526129,-0.154448706,0.107,0.13,1,-0.023
GAA,0.445515171,0.101348295,0.189,0.161,1,0.028
GSDMD,0.445917867,-0.139087506,0.327,0.276,1,0.051
SECISBP2,0.446299445,-0.245027738,0.264,0.236,1,0.028
PPP2R1B,0.446839904,0.08176739,0.138,0.118,1,0.02
SUPV3L1,0.446879259,0.058073741,0.107,0.087,1,0.02
DDX54,0.447536731,-0.107739541,0.22,0.185,1,0.035
PDLIM2,0.448008262,-0.235198706,0.283,0.24,1,0.043
GAN,0.449478876,0.021662421,0.138,0.118,1,0.02
C1GALT1C1,0.450140412,0.018964419,0.189,0.161,1,0.028
ZNF280D,0.450327989,0.100980828,0.145,0.122,1,0.023
BLOC1S4,0.450748899,-0.110901668,0.094,0.118,1,-0.024
PHTF2,0.450789919,-0.084282221,0.101,0.079,1,0.022
CORO7,0.450965681,-0.157490207,0.107,0.134,1,-0.027
OSTF1,0.451572879,0.009004745,0.239,0.209,1,0.03
KIF3A,0.451830269,-0.140810028,0.101,0.079,1,0.022
DHPS,0.451864769,-0.010454515,0.182,0.154,1,0.028
C21orf33,0.452476538,-0.080618011,0.239,0.205,1,0.034
RUFY1,0.452506595,-0.069827623,0.132,0.106,1,0.026
THAP11,0.453420444,-0.199757572,0.176,0.15,1,0.026
FAM134C,0.453607081,-0.034881338,0.113,0.091,1,0.022
VPRBP,0.453979569,-0.012364164,0.119,0.094,1,0.025
RABGGTB,0.453992156,-0.29040207,0.365,0.315,1,0.05
WSB2,0.454211543,0.051951392,0.126,0.102,1,0.024
ZNF22,0.454379629,-0.152848508,0.164,0.138,1,0.026
RAB5B,0.454968922,-0.138880355,0.176,0.146,1,0.03
COX17,0.456218572,-0.386640682,0.497,0.394,1,0.103
MAP4K3,0.456936776,-0.086372942,0.138,0.11,1,0.028
RNF138,0.457128784,-0.042481681,0.201,0.169,1,0.032
EMC3,0.457882914,-0.208081877,0.384,0.331,1,0.053
C16orf52,0.4586237,-0.22974157,0.208,0.228,1,-0.02
SLC25A4,0.459022321,-0.361683774,0.352,0.287,1,0.065
STRN4,0.460284086,-0.164688767,0.157,0.13,1,0.027
TAF6,0.460522917,-0.05564721,0.113,0.091,1,0.022
